Date,Plant_Crushed_Actual_t,Plant_Crushed_Budget_t,Plant_Crushed_Actual_gpt,Plant_Crushed_Budget_gpt,Plant_Crushed_Actual_kg,Plant_Crushed_Budget_kg,Plant_Milled_Actual_t,Plant_Milled_Budget_t,Plant_Milled_Actual_gpt,Plant_Milled_Budget_gpt,Plant_Milled_Actual_kg,Plant_Milled_Budget_kg,Plant_CILFeed_Actual_gpt,Plant_CILFeed_Budget_gpt,Plant_CILFeed_Actual_kg,Plant_CILFeed_Budget_kg,Plant_Tails_Actual_gpt,Plant_Tails_Budget_gpt,Plant_Tails_Actual_kg,Plant_Tails_Budget_kg
2025-08-01,1078.5736,1173.8711999999996,1.4864,2.3,1.6031917990399998,2.699903759999999,1244.3207,1173.8711999999996,1.3227,2.3,1.64586298989,2.699903759999999,1.8463861999999998,2.3,2.29749656885434,2.699903759999999,0.269838,0.2759999999999997,0.3357650090466,0.3239884511999995
2025-08-02,1066.0176,1173.8711999999996,1.8517,2.3000000000000003,1.9739447899199998,2.6999037599999993,1143.296,1173.8711999999996,1.9326000000000003,2.3000000000000003,2.2095338496000005,2.6999037599999993,2.0515103,2.3000000000000003,2.3454835199487998,2.6999037599999993,0.299614,0.27599999999999975,0.342547487744,0.3239884511999996
2025-08-03,648.2984,1173.8711999999996,2.7927,1.832,1.81050294168,2.1505320383999993,665.4402,1173.8711999999996,2.1524,1.832,1.43229348648,2.1505320383999993,2.7219905,1.832,1.8113219027181,2.1505320383999993,0.39,0.2553964731631129,0.25952167800000003,0.29980256442775105
2025-08-04,753.7309,1173.8711999999996,1.7003,2.2315352207198247,1.28156864927,2.6195349273886444,1124.527,1173.8711999999996,1.7907,2.2315352207198247,2.0136904989,2.6195349273886444,2.2959666,2.2315352207198247,2.5818764327982,2.6195349273886444,0.343934,0.2634550481581826,0.3867630692180001,0.3092622935275035
2025-08-05,738.6,586.9355999999998,2.6778,2.2339308325453358,1.97782308,1.3111735335584958,1067.219,586.9355999999998,2.0169,2.2339308325453358,2.1524740011000003,1.3111735335584958,2.1611727,2.2339308325453358,2.3064445677212997,1.3111735335584958,0.301208,0.26373787409030247,0.321454900552,0.15479714737191608
2025-08-06,0.0,1173.8711999999996,0.0,2.2355007055332963,0.0,2.624189895805216,0.0,1173.8711999999996,0.0,2.2355007055332963,0.0,2.624189895805216,0.0,2.2355007055332963,0.0,2.624189895805216,0.0,0.2639232132952608,0.0,0.30981185909876363
2025-08-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
